NAMA_DESA,NAMA_KEC,PENDUDUK
JANGKARAN, Temon,1832
SINDUTAN, Temon,2020
PALIHAN, Temon,2294
GLAGAH, Temon,2969
KALIDENGEN, Temon,1364
PLUMBON, Temon,2273
KEDUNDANG, Temon,2132
DEMEN, Temon,1306
KULUR, Temon,2602
KALIGINTUNG, Temon,1613
TEMON WETAN, Temon,1408
TEMON KULON, Temon,1610
KEBON REJO, Temon,1294
JANTEN, Temon,1121
KARANGWULUH, Temon,1083
KARANGWUNI, Wates,3351
SOGAN, Wates,1981
KULWARU, Wates,2783
NGESTIHARJO, Wates,3065
TRIHARJO, Wates,7138
BENDUNGAN, Wates,6728
GIRIPENI, Wates,8640
WATES, Wates,14706
GARONGAN, Panjatan,3462
PLERET, Panjatan,4649
BUGEL, Panjatan,4442
KANOMAN, Panjatan,1918
DEPOK, Panjatan,2952
BOJONG, Panjatan,4086
TAYUBAN, Panjatan,2113
GOTAKAN, Panjatan,2847
PANJATAN, Panjatan,1467
CERME, Panjatan,3454
KREMBANGAN, Panjatan,5030
KARANGSEWU, Panjatan,8041
BANARAN, Galur,5368
KRANGGAN, Galur,2418
NOMPOREJO, Galur,2022
BROSOT, Galur,4589
PANDOWAN, Galur,2100
TIRTORAHAYU, Galur,6725
WAHYUHARJO, Lendah,1848
BUMIREJO, Lendah,8686
JATIREJO, Lendah,6778
SIDOREJO, Lendah,7740
GULUREJO, Lendah,7244
NGENTAKREJO, Lendah,7342
DEMANGREJO, Sentolo,3252
SRIKAYANGAN, Sentolo,5094
TUKSONO, Sentolo,8663
SALAMREJO, Sentolo,5402
SUKORENO, Sentolo,8005
KALI AGUNG, Sentolo,6222
SENTOLO, Sentolo,8492
BANGUNCIPTO, Sentolo,3698
TAWANGSARI, Pengasih,4640
KARANGSARI, Pengasih,10035
KEDUNGSARI, Pengasih,4376
MARGOSARI, Pengasih,5978
PENGASIH, Pengasih,10269
SENDANGSARI, Pengasih,9423
SIDOMULYO, Pengasih,4979
HARGOMULYO, Kokap,7080
HARGOREJO, Kokap,8509
HARGOWILIS, Kokap,5788
KALIREJO, Kokap,4170
HARGOTIRTO, Kokap,6542
JATIMULYO, Girimulyo,6695
GIRIPURWO, Girimulyo,6389
PENDOWOREJO, Girimulyo,5129
PURWOSARI, Girimulyo,4478
BANYUROTO, Nanggulan,3643
DONOMULYO, Nanggulan,6175
WIJIMULYO, Nanggulan,5146
TANJUNGHARJO, Nanggulan,4351
JATISARONO, Nanggulan,5535
KEMBANG, Nanggulan,4798
BANJARARUM, Kalibawang,8801
BANJARASRI, Kalibawang,4333
BANJARHARJO, Kalibawang,7035
BANJAROYO, Kalibawang,7673
KEBONHARJO, Samigaluh,2236
BANJARSARI, Samigaluh,2951
PURWOHARJO, Samigaluh,3371
SIDOHARJO, Samigaluh,4881
GERBOSARI, Samigaluh,4356
NGARGOSARI, Samigaluh,3799
PAGERHARJO, Samigaluh,4676
,,
